Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Clu 65, Mem 6	-76.458374	-91.887726	15.629216	-0.199865	0.000000	0.000000	CCNc1ccc(cc1C(=O)NC)C(Cc2ccc(c(c2)O)OC)O
Clu 71, Mem 6	-76.449318	-87.745285	12.381481	-1.077745	-0.007769	0.000000	Cc1c(cc(cc1N(C)C=O)C(Cc2ccc(c(c2)O)OC)O)NC
Head 53, Size=21	-76.448143	-80.866364	10.933748	-2.067772	-4.447759	0.000000	CCNc1c(c(cc(c1C)C(Cc2ccc(c(c2)O)OC)O)C)C
Clu 6, Mem 10	-76.447533	-86.224373	12.406433	-1.272874	-1.356710	0.000000	Cc1cc(cc(c1NC)C(=O)OC)C(Cc2ccc(c(c2)O)OC)O
Head 75, Size=3	-76.418701	-92.641975	17.851290	-0.874436	-0.753583	0.000000	Cc1c(c(sc1C(Cc2ccc(c(c2)O)OC)O)NC=O)NC=O
Clu 3, Mem 7	-76.413612	-74.090057	13.720854	-3.358495	-12.685917	0.000000	Cc1c(cc(cc1NC=O)C(Cc2ccc(c(c2)O)OC)O)N
Clu 50, Mem 15	-76.413071	-86.321304	10.507870	-0.592080	-0.007555	0.000000	Cc1c(c(c(c(c1Cl)[O-])Cl)C)C(Cc2ccc(c(c2)O)OC)O
Clu 0, Mem 45	-76.386841	-67.759186	16.443419	-19.994686	-5.076389	0.000000	CNc1c(c(nc(n1)C(Cc2ccc(c(c2)O)OC)O)N)C#N
Clu 3, Mem 72	-76.386757	-84.110855	16.684734	-4.220892	-4.739743	0.000000	Cc1c(cc(cc1N)C(Cc2ccc(c(c2)O)OC)O)C(=O)N
Clu 0, Mem 40	-76.367294	-88.838005	15.465387	-2.507237	-0.487431	0.000000	CCCc1c(cc(cc1NC)C(Cc2ccc(c(c2)O)OC)O)C(=O)N
Clu 10, Mem 3	-76.344826	-91.411026	16.059858	-0.698328	-0.295330	0.000000	Cc1c(cc(c(c1C(Cc2ccc(c(c2)O)OC)O)C)NC(=O)C)NC
Clu 15, Mem 31	-76.338501	-80.557785	17.364317	-1.774301	-11.370725	0.000000	Cc1[nH]c2cc(cc(c2n1)NC)C(Cc3ccc(c(c3)O)OC)O
Clu 0, Mem 58	-76.298203	-74.795738	14.512194	-8.948700	-7.065958	0.000000	Cc1c(cc(c(c1CO)O)CO)C(Cc2ccc(c(c2)O)OC)O
Head 68, Size=25	-76.290184	-70.865585	9.915263	-10.187304	-5.152543	0.000000	CC[NH2+]Cc1cc(cc(c1O)O)C(Cc2ccc(c(c2)O)OC)O
Clu 71, Mem 5	-76.288353	-85.262047	17.565777	-1.220173	-7.371902	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)[N+](=O)[O-])N)NC=O)O
Clu 27, Mem 11	-76.212692	-79.561508	5.609276	-1.982789	-0.277672	0.000000	COc1ccc(cc1O)CC(c2cc3c(ccc[nH+]3)c(c2)Cl)O
Clu 53, Mem 17	-76.200691	-75.999031	14.708223	-13.950344	-0.959539	0.000000	Cc1c(cnc(c1NC=O)NC)C(Cc2ccc(c(c2)O)OC)O
Clu 12, Mem 4	-76.186104	-86.065720	12.486000	-1.501999	-1.104390	0.000000	Cc1c(cc2c(c1N)NCC2)C(Cc3ccc(c(c3)O)OC)O
Clu 7, Mem 18	-76.180824	-81.613136	12.454264	-2.507911	-4.514049	0.000000	CCNc1cc(ccc1C(=O)NC)C(Cc2ccc(c(c2)O)OC)O
Clu 68, Mem 14	-76.106361	-82.446068	10.698780	-2.228959	-2.130121	0.000000	CCCc1cc(cc(c1O)O)C(Cc2ccc(c(c2)O)OC)O
